"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\bin\Debug\net8.0\Bakalauras.API.deps.json", "JSON", 0, 0, -1938, 0, 0, 0, 0, 0, 0, 0, 0, -1938
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\bin\Debug\net8.0\Bakalauras.API.runtimeconfig.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\bin\Debug\net8.0\Bakalauras.API.staticwebassets.runtime.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -3, -35
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Bakalauras.API.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -1, -29
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Bakalauras.API.csproj.nuget.dgspec.json", "JSON", 0, 0, -135, 0, 0, 0, 0, 0, 0, 0, 0, -135
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Bakalauras.API.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, -26
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Bakalauras.API.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, -10
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 0, -3, 0, 0, -1, -1, -5
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\Bakalauras.API.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -5, -23
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\Bakalauras.API.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, -1, -20
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\Bakalauras.API.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 0, -16, 0, 0, -1, -1, -18
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\Bakalauras.API.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, -4, 0, 0, -9, -5, -18
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\Bakalauras.API.sourcelink.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, -3307, 0, 0, 0, 0, 0, 0, 0, 0, -3307
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets.development.json", "JSON", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets.pack.json", "JSON", 0, 0, -713, 0, 0, 0, 0, 0, 0, 0, 0, -713
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets\msbuild.Bakalauras.API.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 0, 0, 0, 0, 0, 0, -2772, 0, 0, 0, -2772
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets\msbuild.build.Bakalauras.API.props", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Bakalauras.API.props", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Bakalauras.API.props", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\obj\project.assets.json", "JSON", 0, 0, -5409, 0, 0, 0, 0, 0, 0, 0, 0, -5409
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\.env", "Dotenv", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
